City,Date,Particule,TES,TUV Dose,Dose ratio
Nueva York,2024-01-21,zn,,3452.38031574031,0.809657672546977
Nueva York,2024-02-21,zn,261,4267.834650109799,1.0008993081871012
Nueva York,2024-03-21,zn,198,4273.714328057999,1.0022782195257973
Nueva York,2024-04-21,zn,171,4283.980021188001,1.0046857460572236
Nueva York,2024-05-21,zn,160,4267.038536334001,1.0007126023297377
Nueva York,2024-06-21,zn,158,4277.7999973800015,1.0032363971341467
Nueva York,2024-07-21,zn,161,4272.323587181999,1.0019520607837709
Nueva York,2024-08-21,zn,173,4266.520982892002,1.0005912248808635
Nueva York,2024-09-21,zn,206,4270.2533145341995,1.0014665371796903
Nueva York,2024-10-21,zn,340,4264.64205781824,1.0001505764114071
Nueva York,2024-11-21,zn,,3050.36434155535,0.715376252709979
Nueva York,2024-12-21,zn,,2751.3717521747744,0.6452560394406132
Nueva York,2024-01-21,cu,2,16.561803239999215,1.2739848646153242
Nueva York,2024-02-21,cu,2,21.394461239998986,1.6457277876922296
Nueva York,2024-03-21,cu,2,26.52418556999874,2.04032196692298
Nueva York,2024-04-21,cu,2,30.51681389999855,2.3474472230768115
Nueva York,2024-05-21,cu,2,32.33616749999847,2.487397499999882
Nueva York,2024-06-21,cu,2,32.56358669999845,2.504891284615266
Nueva York,2024-07-21,cu,2,31.796046899998494,2.4458497615383457
Nueva York,2024-08-21,cu,2,29.891411099998578,2.299339315384506
Nueva York,2024-09-21,cu,2,26.417582819998746,2.032121755384519
Nueva York,2024-10-21,cu,2,21.70858400999897,1.6698910776922284
Nueva York,2024-11-21,cu,2,17.002427939999194,1.3078790723076303
Nueva York,2024-12-21,cu,2,14.888850749999293,1.145296211538407
Los Ángeles,2024-01-21,zn,310,4267.137159999,1.0007357317070824
Los Ángeles,2024-02-21,zn,214,4270.7016253314,1.0015716757343807
Los Ángeles,2024-03-21,zn,178,4277.960739234,1.0032740945670733
Los Ángeles,2024-04-21,zn,160,4270.806843534001,1.0015963516730773
Los Ángeles,2024-05-21,zn,154,4271.836062438,1.0018377257124766
Los Ángeles,2024-06-21,zn,153,4274.740602971999,1.0025189031360222
Los Ángeles,2024-07-21,zn,155,4279.398583949999,1.003611300175891
Los Ángeles,2024-08-21,zn,163,4282.837753067999,1.0044178595375233
Los Ángeles,2024-09-21,zn,184,4267.889938242,1.0009122744469983
Los Ángeles,2024-10-21,zn,235,4268.6499587004,1.001090515642683
Los Ángeles,2024-11-21,zn,,3888.6821481203565,0.9119798658818847
Los Ángeles,2024-12-21,zn,,3656.799732676823,0.857598436368861
Los Ángeles,2024-01-21,cu,2,20.37960305999903,1.5676617738460794
Los Ángeles,2024-02-21,cu,2,24.741787589998825,1.9032144299999096
Los Ángeles,2024-03-21,cu,2,29.209153499998614,2.246857961538355
Los Ángeles,2024-04-21,cu,2,32.421449699998455,2.4939576692306504
Los Ángeles,2024-05-21,cu,2,33.61540049999841,2.585800038461416
Los Ángeles,2024-06-21,cu,2,33.6438278999984,2.5879867615383385
Los Ángeles,2024-07-21,cu,2,33.07527989999842,2.5442522999998785
Los Ángeles,2024-08-21,cu,2,31.767619499998492,2.4436630384614224
Los Ángeles,2024-09-21,cu,2,29.06701649999862,2.23592434615374
Los Ángeles,2024-10-21,cu,2,25.028904329998813,1.9253003330768317
Los Ángeles,2024-11-21,cu,2,20.798907209999008,1.599915939230693
Los Ángeles,2024-12-21,cu,2,18.848787569999104,1.4499067361537772
Monterrey,2024-01-21,zn,235,4270.686139944,1.0015680440769232
Monterrey,2024-02-21,zn,190,4269.866120969399,1.0013757319346621
Monterrey,2024-03-21,zn,167,4275.052077114,1.002591950542683
Monterrey,2024-04-21,zn,157,4282.63108497,1.0043693914094747
Monterrey,2024-05-21,zn,155,4287.280822775998,1.0054598552476544
Monterrey,2024-06-21,zn,155,4287.864910392,1.0055968363958723
Monterrey,2024-07-21,zn,155,4280.573824757999,1.003886919502345
Monterrey,2024-08-21,zn,159,4281.050751137998,1.0039987690286112
Monterrey,2024-09-21,zn,173,4270.472995068002,1.0015180570046909
Monterrey,2024-10-21,zn,206,4271.2554487301995,1.0017015592706846
Monterrey,2024-11-21,zn,270,4267.5305359428,1.0008279868533771
Monterrey,2024-12-21,zn,299,4265.739353547,1.0004079159350376
Monterrey,2024-01-21,cu,2,24.27557822999885,1.867352171538373
Monterrey,2024-02-21,cu,2,28.01235995999867,2.1547969199998978
Monterrey,2024-03-21,cu,2,31.568627699998505,2.428355976922962
Monterrey,2024-04-21,cu,2,33.714896399998395,2.593453569230646
Monterrey,2024-05-21,cu,2,34.155521099998374,2.627347776922952
Monterrey,2024-06-21,cu,2,33.89967449999839,2.6076672692306455
Monterrey,2024-07-21,cu,2,33.672255299998405,2.5901734846152618
Monterrey,2024-08-21,cu,2,33.103707299998426,2.546439023076802
Monterrey,2024-09-21,cu,2,31.35542219999851,2.411955553846039
Monterrey,2024-10-21,cu,2,28.17581750999866,2.1673705776922043
Monterrey,2024-11-21,cu,2,24.57833003999883,1.8906407723076022
Monterrey,2024-12-21,cu,2,22.89827069999891,1.7614054384614546
Ciudad de México,2024-01-21,zn,210,4277.323071000001,1.00312454760788
Ciudad de México,2024-02-21,zn,179,4274.221283136001,1.0023971114296437
Ciudad de México,2024-03-21,zn,163,4280.66744364,1.0039088751500937
Ciudad de México,2024-04-21,zn,157,4269.199424994,1.0012193773438085
Ciudad de México,2024-05-21,zn,158,4272.4195612560015,1.0019745687748596
Ciudad de México,2024-06-21,zn,159,4272.605621423999,1.0020182038986865
Ciudad de México,2024-07-21,zn,158,4273.882135488002,1.0023175739887433
Ciudad de México,2024-08-21,zn,159,4273.552408607999,1.0022402459212003
Ciudad de México,2024-09-21,zn,169,4277.619825192,1.0031941428686677
Ciudad de México,2024-10-21,zn,193,4276.914445188,1.0030287160384617
Ciudad de México,2024-11-21,zn,230,4271.4286731018,1.0017421841233114
Ciudad de México,2024-12-21,zn,240,4270.594699614601,1.0015465993467638
Ciudad de México,2024-01-21,cu,2,26.620838729998734,2.047756825384518
Ciudad de México,2024-02-21,cu,2,29.820342599998586,2.293872507692199
Ciudad de México,2024-03-21,cu,2,32.62044149999845,2.5092647307691114
Ciudad de México,2024-04-21,cu,2,33.984956699998385,2.6142274384614144
Ciudad de México,2024-05-21,cu,2,33.842819699998394,2.6032938230767995
Ciudad de México,2024-06-21,cu,2,33.387981299998415,2.568306253846032
Ciudad de México,2024-07-21,cu,2,33.373767599998416,2.5672128923075705
Ciudad de México,2024-08-21,cu,2,33.416408699998414,2.5704929769229548
Ciudad de México,2024-09-21,cu,2,32.407235999998456,2.492864307692189
Ciudad de México,2024-10-21,cu,2,29.93405219999858,2.3026193999998905
Ciudad de México,2024-11-21,cu,2,26.873842589998723,2.0672186607691327
Ciudad de México,2024-12-21,cu,2,25.402724639998794,1.9540557415383688
Cartagena,2024-01-21,zn,176,4266.637859294999,1.0006186349190898
Cartagena,2024-02-21,zn,160,4275.252268434,1.0026388997265478
Cartagena,2024-03-21,zn,154,4287.430966266,1.0054950671355534
Cartagena,2024-04-21,zn,156,4280.884710102002,1.0039598288231713
Cartagena,2024-05-21,zn,161,4264.222315499999,1.0000521377814258
Cartagena,2024-06-21,zn,163,4264.2317362680005,1.0000543471547845
Cartagena,2024-07-21,zn,160,4274.762388497999,1.0025240123119135
